"DoubleTime","StringTime","I3 Mag","I3 Ang","kW","I3 THD","I3 TDD","kvar","I3 %HD01","I3 %HD02","I3 %HD03","I3 %HD04","I3 %HD05","I3 %HD06","I3 %HD07","I3 %HD08","I3 %HD09","I3 %HD10","I3 %HD11","I3 %HD12","I3 %HD13","I3 %HD14","I3 %HD15","I3 %HD16","I3 %HD17","I3 H01 ANG","I3 H02 ANG","I3 H03 ANG","I3 H04 ANG","I3 H01 ANG:1","I3 H02 ANG:1","I3 H03 ANG:1","I3 H04 ANG:1","I3 H05 ANG","I3 H06 ANG","I3 H07 ANG","I3 H08 ANG","I3 H09 ANG","I3 H10 ANG","I3 H11 ANG","I3 H12 ANG","I3 H13 ANG"
"1555347645407","04/15/19  17:00:45.407   ","0.52","61.4","0.184","34.1","0.3","0.177","100","3.75","32.37","1.95","8.84","0.71","2.19","0.21","2.41","0.27","1.17","0.33","0.74","0.24","0.52","0.22","0.43","61.2","-15","-71","-127.4","61.2","-15","-71","-127.4","-174.6","117.5","1.4","-140.8","-62.5","0","12.4","89.6","38.2"
"1555347646238","04/15/19  17:00:46.238   ","0.52","61.4","0.185","34.1","0.4","0.177","100","2.6","32.53","1.59","9.03","0.66","2.13","0.22","2.33","0.29","0.84","0","0.73","0","0.47","0.3","0.36","61.4","-13.7","-70.4","-125.5","61.4","-14","-70.7","-132.1","-173.1","138.9","-6.9","4.5","-67.5","-92.8","35.6","20.5","43.1"
"1555347647632","04/15/19  17:00:47.632   ","0.52","61.3","0.185","34.2","0.4","0.177","100","3.32","32.3","1.77","9.01","0.78","2.21","0.25","2.1","0","1.05","0.33","0.8","0","0.41","0","0","61.5","-14.1","-70.4","-124.8","61.5","-14.1","-70.4","-124.8","-174.1","151.4","-1","-3.8","-66.6","0","21.9","37.2","53.1"
"1555347648196","04/15/19  17:00:48.196   ","0.52","61.4","0.185","34.1","0.4","0.178","100","3.63","32.4","1.89","9.05","0.5","2.12","0","2.16","0","1.07","0.37","0.58","0.23","0.6","0.28","0.4","61.3","-15.9","-70.9","-129.3","61.3","-15.9","-70.9","-129.3","-175.5","128.5","-4","0","-62.5","0","28.8","64.6","41.5"
"1555347649421","04/15/19  17:00:49.421   ","0.52","61.2","0.185","34.1","0.4","0.178","100","3.6","32.24","1.76","9.21","0","1.99","0.26","2.21","0","1.07","0.46","0.57","0","0.4","0","0.35","61.5","-12.8","-70.3","-129.9","61.5","-12.8","-70.3","-129.9","-173.9","115.8","1.7","0","-64.2","8.2","13.8","81.9","31.5"
"1555347650204","04/15/19  17:00:50.204   ","0.52","61.4","0.187","34.2","0.4","0.179","100","3.71","32.39","1.99","8.86","0.4","2.09","0","2.27","0.21","0.98","0.44","0.63","0.34","0.65","0.25","0.53","61.3","-14","-70.7","-126.3","61.3","-14","-70.7","-126.3","-174","128.2","3.1","0","-62.5","8.6","23.9","102.6","45"
"1555347651658","04/15/19  17:00:51.658   ","0.52","61.3","0.184","34.1","0.4","0.177","100","3.39","32.41","1.6","9.04","0.94","2.1","0.3","1.9","0","0.95","0.33","0.7","0","0.56","0.29","0.34","61.5","-15.3","-70.6","-126.1","61.5","-15.3","-70.6","-126.1","-174.3","140.9","-6.9","6","-65.3","0","37.7","0.5","58.6"
"1555347652203","04/15/19  17:00:52.203   ","0.52","61.4","0.185","34.2","0.4","0.177","100","3.75","32.4","1.97","8.78","0.68","2.1","0","2.42","0","1.01","0.33","0.68","0.31","0.56","0.25","0.6","61.3","-13.9","-70.9","-131.7","61.3","-13.9","-70.9","-131.7","-174.5","116.5","-2.1","0","-68.8","0","22.6","103.8","32.3"
"1555347653415","04/15/19  17:00:53.415   ","0.52","61.5","0.184","34.2","0.3","0.178","100","3.82","32.4","1.83","9.1","0.78","2.16","0.25","2.01","0.25","1.12","0.51","0.8","0","0.56","0.23","0.59","61.5","-16.2","-70.3","-133.9","61.5","-16.2","-70.3","-133.9","-174.3","139","5.3","0","-63.2","74.4","37.1","55.5","33.1"
"1555347654204","04/15/19  17:00:54.204   ","0.52","61.4","0.185","34.3","0.4","0.178","100","3.83","32.43","1.98","9","0.89","2.19","0.27","2.21","0.32","0.97","0.41","0.86","0","0.39","0","0.61","61.4","-12.2","-70.4","-125.3","61.4","-12.2","-70.4","-125.3","-175.5","127.5","1.1","-36","-64.9","104.3","21.9","49","46.9"
