"DoubleTime","StringTime","I3 Mag","I3 Ang","kW","I3 THD","I3 TDD","kvar","I3 %HD01","I3 %HD02","I3 %HD03","I3 %HD04","I3 %HD05","I3 %HD06","I3 %HD07","I3 %HD08","I3 %HD09","I3 %HD10","I3 %HD11","I3 %HD12","I3 %HD13","I3 %HD14","I3 %HD15","I3 %HD16","I3 %HD17","I3 H01 ANG","I3 H02 ANG","I3 H03 ANG","I3 H04 ANG","I3 H01 ANG:1","I3 H02 ANG:1","I3 H03 ANG:1","I3 H04 ANG:1","I3 H05 ANG","I3 H06 ANG","I3 H07 ANG","I3 H08 ANG","I3 H09 ANG","I3 H10 ANG","I3 H11 ANG","V3 Ang","I3 H13 ANG"
"1558528063524","05/22/19  12:27:43.524   ","0.44","62.7","0.249","34.2","0.3","0.228","100","3.47","32.12","1.23","9.88","0.72","2.59","0","3.42","0","1.17","0","0.96","0.34","0.58","0","0.6","62.7","-17.2","-72.4","-129","62.8","-14.7","-72.1","-130.2","-174.3","124.7","-2.8","0","-69.1","0","30.4","119.5","48.8"
"1558528064290","05/22/19  12:27:44.290   ","0.43","62.6","0.248","33.9","0.3","0.225","100","2.65","31.88","1.03","10.18","0.35","2.5","0","3.37","0","1.29","0.3","1.08","0.24","0.59","0.2","0.72","62.7","-17.1","-72.1","-133.2","62.7","-17.1","-72.1","-133.2","-173.9","112.2","-9.5","0","-68.8","149.7","33.2","119.5","28.1"
"1558528065552","05/22/19  12:27:45.552   ","0.44","62.7","0.247","33.9","0.3","0.226","100","2.75","31.92","1","10.29","0.58","2.56","0.31","3.48","0","1.31","0.27","0.94","0.29","0.61","0","0.72","62.8","-18.9","-72.8","-129.7","62.6","-12.8","-73.1","-111.4","-174.6","93.6","-3.5","152","-70.3","0","24.5","119.5","43.6"
"1558528066320","05/22/19  12:27:46.320   ","0.43","62.8","0.251","34.2","0.3","0.225","100","2.77","31.96","1.46","9.84","0.5","2.73","0.3","3.17","0","1.22","0.29","0.87","0.26","0.64","0.27","0.66","62.6","-17.8","-72.6","-140.1","62.6","-17.8","-72.6","-140.1","-175.4","91.4","-3.8","-112.4","-73.7","0","29.6","119.5","12.7"
"1558528067581","05/22/19  12:27:47.581   ","0.44","62.6","0.247","33.7","0.3","0.226","100","3.52","31.87","1.14","10.2","0.82","2.61","0.3","3.58","0","1.48","0.3","1.05","0","0.75","0.26","0.53","62.8","-16","-72.7","-127.3","62.6","-18.1","-72.9","-134.5","-176","93","-4.6","0","-71.9","145.2","34.6","119.4","40.6"
"1558528068275","05/22/19  12:27:48.275   ","0.44","62.5","0.247","33.8","0.3","0.226","100","3.35","31.79","1.38","9.92","0.7","2.49","0","3.51","0.26","1.16","0.27","0.53","0","0.89","0","0.59","62.5","-14.4","-72.9","-126.9","62.5","-14.4","-72.9","-126.9","-175","114.4","-3.7","29.1","-69.7","0","39.3","119.4","25"
"1558528069625","05/22/19  12:27:49.625   ","0.44","62.7","0.249","33.9","0.3","0.226","100","2.48","31.71","0.87","10.06","0.55","2.38","0","3.3","0.55","1.19","0.36","1.24","0.36","0.51","0","0.54","62.7","-15.4","-72.3","-128","62.7","-22.2","-72.8","-135.8","-175.5","43.7","-15.2","0","-70.4","135.2","29.6","119.4","55.6"
"1558528070308","05/22/19  12:27:50.308   ","0.43","62.7","0.248","34","0.3","0.225","100","1.77","31.86","1.07","10.03","0.38","2.67","0.3","3.19","0","1.09","0.31","0.97","0.56","0.65","0.36","0.61","62.7","-12.2","-72.4","-117.5","62.7","-12.2","-72.4","-117.5","-175","91.8","-8.3","-146.4","-67.4","0","33.8","119.4","44.4"
"1558528071654","05/22/19  12:27:51.654   ","0.43","62.9","0.248","33.6","0.3","0.224","100","1.37","31.92","0.68","10.1","0.42","2.47","0.39","3","0.34","1.2","0","1.08","0","0.61","0.23","0.25","62.7","-23.6","-72.9","-140.8","62.7","-23.6","-72.9","-140.8","-175.8","79.5","-12","0","-69.3","0","23.3","119.5","49.4"
"1558528072357","05/22/19  12:27:52.357   ","0.43","62.8","0.249","33.7","0.3","0.225","100","1.34","32.06","0.82","10.23","0.5","2.59","0.26","2.97","0.36","1.26","0","0.93","0.34","0.72","0.3","0.65","62.8","-13.8","-73.2","-141","62.8","-13.8","-73.2","-141","-172.9","75","-4.8","-93.6","-67.5","-13.7","27.1","119.4","32.6"
"1558528073682","05/22/19  12:27:53.682   ","0.43","62.6","0.249","34.1","0.3","0.224","100","1.77","31.89","0.85","10.01","0.54","2.92","0","3.03","0.28","1.24","0.24","0.84","0","0.38","0.38","0.35","62.8","-19.5","-72.6","-142.6","62.7","-18.8","-72.9","-132.5","-175.7","56.6","-14.3","0","-69.1","118.9","25.4","119.4","49.9"
"1558528074236","05/22/19  12:27:54.236   ","0.43","62.7","0.247","33.7","0.3","0.225","100","1.61","32.07","0.62","9.69","0.21","2.31","0","3.32","0","1.4","0","0.89","0","0.57","0","0.52","62.5","-18","-72.6","-155","62.5","-18","-72.6","-155","-174.5","85.6","-2.4","0","-73.7","0","32.4","119.5","17.9"
"1558528075525","05/22/19  12:27:55.525   ","0.43","62.9","0.249","33.9","0.3","0.224","100","1.22","31.66","0.51","10.21","0.46","2.8","0.31","2.86","0","1.41","0.37","1.05","0.28","0.58","0.41","0.63","62.8","-15.2","-72.3","-120.6","63","-14.3","-72.8","-153.5","-173.6","125.4","-8.2","0","-69.4","0","19.9","119.5","34.9"
"1558528076237","05/22/19  12:27:56.237   ","0.43","62.8","0.25","33.7","0.3","0.224","100","1.03","32.18","0.53","10.03","0.55","2.83","0","2.86","0","1.09","0.25","1.04","0.33","0.62","0.42","0.47","62.8","-11.9","-72.3","-140.8","62.8","-11.9","-72.3","-140.8","-175","94.2","-10.7","0","-74.7","0","13","119.5","31.9"
"1558528077501","05/22/19  12:27:57.501   ","0.43","62.7","0.249","33.6","0.3","0.225","100","0.64","31.92","0.44","10.22","0","2.79","0.5","3.22","0.2","1.33","0.45","0.99","0","0.7","0.26","0.37","62.9","-19.2","-72.9","-162.7","62.9","-19.2","-72.9","-162.7","-174.7","73.6","-12.3","0","-69","23.5","17.1","119.3","27.4"
"1558528078245","05/22/19  12:27:58.245   ","0.43","62.7","0.248","33.6","0.3","0.225","100","0.85","31.9","0.31","9.62","0.21","2.36","0.2","3.34","0","1.21","0.22","0.89","0","0.65","0","0.41","62.7","-21.5","-72.6","-142.8","62.7","-21.5","-72.6","-142.8","-172.5","103.8","-4.2","-170.3","-72.6","0","38.4","119.4","25.1"
"1558528079514","05/22/19  12:27:59.514   ","0.43","62.9","0.246","33.9","0.3","0.227","100","1.27","31.65","0.22","9.7","0.54","2.41","0.2","3.39","0","1.52","0","0.98","0","0.58","0","0.68","62.8","-26.3","-72.7","0","62.9","-11.9","-72.2","-115.6","-173","108.7","-11.6","83.2","-66.5","-104.2","34.7","119.5","41.5"
"1558528080235","05/22/19  12:28:00.235   ","0.43","62.8","0.249","33.8","0.3","0.225","100","1.11","31.81","0.63","10.12","0.3","2.56","0.29","3.41","0","1.21","0.35","1.19","0.33","0.57","0.23","0.75","62.9","-17.2","-72.5","-140.7","62.9","-17.2","-72.5","-140.7","-173.2","-161.2","-5.8","21.1","-67.5","0","24.7","119.5","26"
"1558528081511","05/22/19  12:28:01.511   ","0.43","62.6","0.249","33.7","0.3","0.226","100","1.72","32.09","0.7","10.18","0.4","2.91","0","2.99","0.35","1.28","0.2","1.04","0.2","0.74","0","0.21","62.9","-15.8","-72.6","-129.9","62.6","-13.3","-72.8","-88.8","-174","-176.8","-4.3","-134","-74","0","24.3","119.5","33.4"
"1558528082232","05/22/19  12:28:02.232   ","0.44","62.7","0.248","33.9","0.3","0.227","100","2.52","31.88","0.84","9.99","0.51","2.54","0.41","2.87","0.27","1.3","0.23","0.99","0.36","0.72","0.28","0.3","62.8","-17.8","-72.2","-131.8","62.8","-17.8","-72.2","-131.8","-174.7","106.1","-11.6","-86.9","-71.7","92.9","28.1","119.6","19.9"
