"DoubleTime","StringTime","I3 Mag","I3 Ang","kW","I3 THD","I3 TDD","kvar","I3 %HD01","I3 %HD02","I3 %HD03","I3 %HD04","I3 %HD05","I3 %HD06","I3 %HD07","I3 %HD08","I3 %HD09","I3 %HD10","I3 %HD11","I3 %HD12","I3 %HD13","I3 %HD14","I3 %HD15","I3 %HD16","I3 %HD17","I3 H01 ANG","I3 H02 ANG","I3 H03 ANG","I3 H04 ANG","I3 H01 ANG:1","I3 H02 ANG:1","I3 H03 ANG:1","I3 H04 ANG:1","I3 H05 ANG","I3 H06 ANG","I3 H07 ANG","I3 H08 ANG","I3 H09 ANG","I3 H10 ANG","I3 H11 ANG","V3 Ang","I3 H13 ANG"
"1558525421729","05/22/19  11:43:41.729   ","4.87","86.1","2.966","18.4","1.8","1.699","100","19.54","2.27","1.24","2.15","1.43","0.37","1.03","0.42","0.3","0.49","0.39","0","0.23","0","0","0.21","85","-54.9","-63.3","-56.9","84.2","-111.2","-78.4","2.3","-29.5","173","170.9","-27.8","0","0","0","119.5","72.2"
"1558525422706","05/22/19  11:43:42.706   ","4.81","85.1","2.969","18.4","1.8","1.734","100","19.79","3.75","1.22","1.92","1.61","0.61","1","0.69","0.28","0.48","0.38","0","0.22","0","0","0.2","84.3","-19.6","-38.7","-67","84.9","-76.9","-72.8","-24.4","-28.4","-166.8","26.2","22.2","-119.3","0","61","119.5","75.6"
"1558525423810","05/22/19  11:43:43.810   ","4.8","85.5","2.974","19.6","1.9","1.687","100","19.79","4.35","1.17","1.88","1.96","0.62","0.8","0.83","0","0.41","0.33","0","0","0","0","0","84.6","-97.1","-77.3","-2.3","83.4","-157.1","-44","71","-20.1","108.7","0","-48.2","32.8","98.6","127.8","119.5","32.5"
"1558525424213","05/22/19  11:43:44.213   ","4.9","85.1","2.967","20.4","2","1.714","100","18.46","3.46","0.67","2.06","1.9","0.57","0.92","0.58","0","0","0.21","0","0","0","0","0","84.9","-78.9","-72.7","-21.2","84.9","-78.9","-72.7","-21.2","-28.9","-168.6","19.8","19.2","-122","0","0","119.6","76"
"1558525425487","05/22/19  11:43:45.487   ","4.97","83.9","2.936","18.7","1.9","1.68","100","18.5","2.35","0.95","2.52","1.3","0","0.89","0.49","0.21","0.28","0.25","0.27","0","0","0","0","85.2","147","-65.8","113","85.2","147","-65.8","113","3.6","51.4","152.8","-97.7","-54.7","57.3","91.6","119.5","0"
"1558525426219","05/22/19  11:43:46.219   ","5.02","84.7","2.97","20.1","2","1.698","100","19","4.14","0.83","1.87","2.14","0.56","0.75","0.72","0","0.34","0.29","0","0","0","0","0.2","85","-60","-64.9","-53.4","85","-60","-64.9","-53.4","-19.9","-155.3","68.6","43.7","-102.5","0","72.6","119.6","0"
"1558525427487","05/22/19  11:43:47.487   ","5.01","84","2.943","18.9","1.8","1.723","100","18.22","1.57","0.97","2.19","1.72","0.26","1.05","0.34","0.2","0.28","0.28","0.26","0","0","0","0","84.4","166.3","-56.5","113.1","84.4","166.3","-56.5","113.1","2.8","66.9","176.1","-78.4","-17.6","60.1","121.8","119.5","0"
"1558525428216","05/22/19  11:43:48.216   ","4.96","85.4","2.958","19.6","1.9","1.682","100","19.63","4.36","1.21","1.89","1.9","0.64","0.74","0.8","0","0.47","0.34","0.22","0","0.2","0","0","84.7","-39.5","-53.8","-63.1","84.7","-39.5","-53.8","-63.1","-19.2","-136","96.5","77.5","-85.4","0","80.1","119.5","0"
"1558525429506","05/22/19  11:43:49.506   ","5","84.1","2.942","20","1.9","1.736","100","18.98","3.15","1.13","2.17","1.15","0.36","0.93","0.47","0.31","0.3","0.28","0.29","0","0","0","0","83.7","-171.3","-50.3","101.2","85.7","132.5","-73.9","114","2","41.1","125.2","-113.4","-69.5","34.5","98.5","119.6","0"
"1558525430220","05/22/19  11:43:50.220   ","4.89","85.9","2.966","18.4","1.8","1.698","100","19.58","3.55","1.25","2.02","1.55","0.65","0.93","0.65","0.25","0.5","0.39","0","0.27","0","0","0","84.3","-15.9","-37.4","-70.6","84.3","-15.9","-37.4","-70.6","-15.3","-113.6","115.2","103.3","-69.3","-93.6","86.6","119.6","0"
