"DoubleTime","StringTime","I3 Mag","I3 Ang","kW","I3 THD","I3 TDD","kvar","I3 %HD01","I3 %HD02","I3 %HD03","I3 %HD04","I3 %HD05","I3 %HD06","I3 %HD07","I3 %HD08","I3 %HD09","I3 %HD10","I3 %HD11","I3 %HD12","I3 %HD13","I3 %HD14","I3 %HD15","I3 %HD16","I3 %HD17","I3 H01 ANG","I3 H02 ANG","I3 H03 ANG","I3 H04 ANG","I3 H01 ANG:1","I3 H02 ANG:1","I3 H03 ANG:1","I3 H04 ANG:1","I3 H05 ANG","I3 H06 ANG","I3 H07 ANG","I3 H08 ANG","I3 H09 ANG","I3 H10 ANG","I3 H11 ANG","I3 H12 ANG","I3 H13 ANG"
"1555350720741","04/15/19  17:52:00.741   ","4.98","84","3.168","18.4","2","1.809","100","17.91","1.86","0.64","3.97","1.52","0.87","0.66","0.2","0","0.29","0","0","0","0","0","0.25","83.5","-8.9","-41.7","-56.9","84.3","-61.6","-68.1","-71.6","-9.5","-154.4","35.1","39.2","-107.9","141.2","0","0","0"
"1555350721536","04/15/19  17:52:01.536   ","4.82","82.7","3.163","21","1.9","1.838","100","18.72","3.98","1.76","3.73","1.71","0.6","0.6","0.54","0.32","0.2","0.22","0.2","0","0","0","0","82.6","167.4","-46.6","126.4","84","112.7","-70.9","135.2","-3.2","24.2","34.5","-154.5","-97","-43.2","0","0","-60.6"
"1555350722738","04/15/19  17:52:02.738   ","4.83","83.9","3.168","19.5","1.8","1.747","100","18.93","4.52","1.46","3.62","2.33","1.15","0.48","0.65","0.27","0","0.23","0.35","0","0","0","0.27","83.5","73.8","-62.9","157.9","82.8","15.9","-33.3","-67.7","-12.7","-80.6","-28.8","137.6","3.4","0","171.2","0","0"
"1555350723735","04/15/19  17:52:03.735   ","5.06","83.9","3.135","20.6","2","1.838","100","18.15","2.65","1.18","3.83","1.47","0.39","0.74","0.37","0","0.24","0","0","0","0","0","0","83.7","85.8","-70.5","152.7","82.5","28.2","-22.2","-98.6","-13","-70.3","12.5","122.3","16.6","0","161.1","0","0"
"1555350725745","04/15/19  17:52:05.745   ","5.05","82.3","3.143","19.2","2.1","1.965","100","17.53","1.21","0.25","3.87","1.63","0.97","0.75","0.36","0.27","0.25","0","0","0","0","0","0.21","82.7","167.5","-47.9","128.3","83.9","112.8","-71.1","137.6","-3.2","24.9","34.1","-156.4","-101.4","0","0","0","-50.3"
"1555350726747","04/15/19  17:52:06.747   ","4.88","82.2","3.149","19","1.9","1.905","100","18.24","5","1.13","3.6","2.17","1.05","0.74","0.61","0.21","0","0","0.21","0","0","0","0.21","82.5","-121.9","-72.4","7.7","82.2","-178.2","-43.5","122.7","-4.3","82.7","70","-79.3","-15.4","49.4","131.9","0","0"
"1555350727535","04/15/19  17:52:07.535   ","4.86","83.8","3.162","18.2","1.9","1.784","100","18.31","1.67","0.6","3.61","1.47","0.9","0.75","0","0","0.29","0","0","0","0","0","0.22","82.8","54.2","-31.3","-153.6","83.1","-2.8","-38.3","-52.7","-6.6","-101","-53.3","115.6","-45.2","-131.6","170.5","176.6","0"
"1555350728749","04/15/19  17:52:08.749   ","4.97","84","3.129","19.5","1.9","1.837","100","18.71","3.7","1.35","4.12","1.39","0.51","0.67","0.29","0.24","0.34","0.2","0","0","0","0","0.25","83.9","-38.9","-55.9","-59.1","83.8","-92.1","-77.3","-43.3","-17.9","179.4","0.2","-10.5","-132.7","0","170.4","0","-103.1"
"1555350729748","04/15/19  17:52:09.748   ","4.98","82.5","3.141","18.2","1.9","1.798","100","18.21","2.43","1.09","3.31","1.7","1.03","0.67","0.43","0","0","0","0.23","0","0","0","0","83.2","-22.7","-47.8","-55.9","83.6","-75.1","-72.4","-70.2","-13.1","-164","19.7","16.1","-113.8","112.2","0","0","-84.5"
"1555350730623","04/15/19  17:52:10.623   ","4.96","82.1","3.598","18.4","1.9","1.876","100","18.96","4.43","1.92","3.64","1.82","0.75","0.54","0.56","0.33","0.26","0","0.26","0","0","0","0","83.4","103.4","-71.3","141.2","82.2","49.8","-20.7","-149.6","-4.7","-44.1","38.8","113.5","0","0","172.2","0","0"
